TCGA-2H-A9GK-01A	TCGA-LN-A4A4-01A	TCGA-L5-A4OI-01A	TCGA-L5-A4OM-01A	TCGA-L5-A4OG-01A	TCGA-L5-A88Y-01A	TCGA-L5-A4OR-11A	TCGA-R6-A6XQ-01B	TCGA-ZR-A9CJ-01B	TCGA-L5-A8NW-01A	TCGA-S8-A6BV-01A	TCGA-2H-A9GM-01A	TCGA-LN-A4A5-01A	TCGA-LN-A7HY-01A	TCGA-2H-A9GL-01A	TCGA-IG-A3YA-01A	TCGA-JY-A6FB-01A	TCGA-JY-A938-01A	TCGA-LN-A49Y-01A	TCGA-LN-A5U6-01A	TCGA-L5-A88S-01A	TCGA-JY-A6FD-01A	TCGA-LN-A4A1-01A	TCGA-JY-A6FA-01A	TCGA-JY-A93C-01A	TCGA-LN-A49O-01A	TCGA-L7-A6VZ-01A	TCGA-L5-A88Z-01A	TCGA-R6-A6DN-01B	TCGA-JY-A6FH-01A	TCGA-L5-A8NU-01A	TCGA-L5-A4OG-11A	TCGA-2H-A9GG-01A	TCGA-IG-A625-01A	TCGA-LN-A49U-01A	TCGA-V5-A7RE-01A	TCGA-Q9-A6FW-01A	TCGA-2H-A9GR-01A	TCGA-VR-A8ER-01A	TCGA-IG-A97H-01A	TCGA-IG-A3I8-01A	TCGA-L5-A8NL-01A	TCGA-LN-A7HZ-01A	TCGA-VR-A8ET-01A	TCGA-L5-A88T-01A	TCGA-L5-A43E-01A	TCGA-IG-A4QS-01A	TCGA-IG-A5B8-01A	TCGA-VR-A8EW-01A	TCGA-L5-A8NQ-01A	TCGA-IC-A6RE-01A	TCGA-VR-A8EP-01A	TCGA-IG-A97I-01A	TCGA-JY-A93D-01A	TCGA-R6-A8WC-01A	TCGA-L5-A8NJ-01A	TCGA-L5-A8NE-01A	TCGA-R6-A8W5-01B	TCGA-L5-A8NS-01A	TCGA-R6-A6L4-01A	TCGA-R6-A6Y0-01B	TCGA-L5-A4OQ-11A	TCGA-LN-A49X-01A	TCGA-LN-A9FP-01A	TCGA-VR-A8EX-01A	TCGA-L5-A4ON-01A	TCGA-VR-A8EO-01A	TCGA-LN-A49M-01A	TCGA-LN-A8I0-01A	TCGA-V5-AASX-01A	TCGA-LN-A49S-01A	TCGA-Z6-A8JD-01A	TCGA-L5-A88V-01A	TCGA-IG-A7DP-01A	TCGA-KH-A6WC-01A	TCGA-JY-A93E-01A	TCGA-V5-A7RC-06A	TCGA-VR-A8EY-01A	TCGA-2H-A9GJ-01A	TCGA-LN-A7HX-01A	TCGA-VR-AA4D-01A	TCGA-L5-A893-01A	TCGA-IC-A6RF-11A	TCGA-2H-A9GI-01A	TCGA-Z6-AAPN-01A	TCGA-LN-A8I1-01A	TCGA-LN-A49W-01A	TCGA-V5-AASW-01A	TCGA-IG-A8O2-01A	TCGA-V5-A7RC-01B	TCGA-VR-A8Q7-01A	TCGA-JY-A939-01A	TCGA-L5-A4OJ-11A	TCGA-L5-A4OX-01A	TCGA-L5-A4OU-01A	TCGA-IC-A6RE-11A	TCGA-R6-A8WG-01A	TCGA-L5-A8NV-01A	TCGA-L5-A8NF-01A	TCGA-Z6-A9VB-01A	TCGA-L5-A4OP-01A	TCGA-L5-A8NH-01A	TCGA-LN-A7HW-01A	TCGA-L7-A56G-01A	TCGA-LN-A7HV-01A	TCGA-V5-A7RE-11A	TCGA-IG-A5S3-01A	TCGA-L5-A4OT-01A	TCGA-L5-A4OH-01A	TCGA-L5-A8NR-01A	TCGA-JY-A6FE-01A	TCGA-IG-A4P3-01A	TCGA-IG-A3QL-01A	TCGA-Z6-A8JE-01A	TCGA-RE-A7BO-01A	TCGA-V5-AASX-11A	TCGA-XP-A8T6-01A	TCGA-IG-A3YB-01A	TCGA-VR-A8EQ-01A	TCGA-LN-A9FQ-01A	TCGA-IG-A50L-01A	TCGA-LN-A4A3-01A	TCGA-IC-A6RF-01A	TCGA-2H-A9GO-01A	TCGA-L5-A4OS-01A	TCGA-LN-A9FR-01A	TCGA-L5-A8NG-01A	TCGA-LN-A9FO-01A	TCGA-L5-A8NM-01A	TCGA-L5-A88W-01A	TCGA-L5-A8NT-01A	TCGA-L5-A891-01A	TCGA-VR-A8EU-01A	TCGA-JY-A93F-01A	TCGA-L5-A8NI-01A	TCGA-R6-A6KZ-01A	TCGA-R6-A8W8-01B	TCGA-R6-A6XG-01B	TCGA-LN-A49P-01A	TCGA-LN-A8HZ-01A	TCGA-LN-A4A9-01A	TCGA-VR-A8EZ-01A	TCGA-LN-A4A8-01A	TCGA-2H-A9GF-01A	TCGA-L5-A4OF-11A	TCGA-L5-A4OJ-01A	TCGA-L5-A4OO-11A	TCGA-L5-A43C-01A	TCGA-XP-A8T8-01A	TCGA-2H-A9GN-01A	TCGA-LN-A5U5-01A	TCGA-R6-A6DQ-01B	TCGA-2H-A9GH-01A	TCGA-JY-A6FG-01A	TCGA-LN-A5U7-01A	TCGA-IG-A51D-01A	TCGA-IG-A3YC-01A	TCGA-LN-A4MQ-01A	TCGA-L5-A43J-01A	TCGA-L5-A4OE-01A	TCGA-S8-A6BW-01A	TCGA-V5-A7RB-01A	TCGA-L5-A43C-11A	TCGA-M9-A5M8-01A	TCGA-VR-AA4G-01A	TCGA-L5-A8NK-01A	TCGA-V5-AASV-01A	TCGA-L5-A8NN-01A	TCGA-IG-A6QS-01A	TCGA-L5-A4OO-01A	TCGA-VR-AA7I-01A	TCGA-L5-A4OW-01A	TCGA-2H-A9GQ-01A
CHST2	3.350044437	1.255940003	0.68639048	2.58724	2.639989	2.179385	1.647741	0.805151831	1.459823	1.356167	1.706451	2.269719411	1.564858273	2.592167941	1.7166882	2.220842373	1.694548	2.131508118	0.994158251	1.448993	4.106095861	4.973363	4.024336	1.323806	2.070953058	2.817135	0.9686538	4.534100271	0.6985191	2.297978	3.879984	1.21755033	1.519007151	5.2925	3.871974	0.6256452	1.262144	2.07455466	2.572484	2.948351393	3.069599	2.330523887	3.532276	5.106318539	1.254520387	1.062634796	0.705304491	6.518966414	4.468418	2.199248373	1.978321513	2.446462697	2.468195996	2.327673	0.3258273	0.653642344	1.251339	2.587474	1.282751931	0.8915203	3.441612	1.782335	1.348027	2.942936	2.480856686	1.489378	1.119842635	2.260928	4.142312998	1.935742	2.481134	4.179596037	1.244356	3.409611497	0.6516098	1.860925	6.235918	0.9078975	2.493461	6.463315	0.420243747	1.998449357	0.729726862	1.748248221	4.32978	6.027504859	2.617208212	0.7831315	0.8421001	4.186845	2.804941974	2.242902236	1.149502475	0.888111303	1.535992776	0.73665501	1.926913	2.533195389	2.003611419	3.850050561	1.136793	2.405566408	4.345065	2.631713	4.562252	1.252633462	1.96503577	1.760455851	0.815247218	0.627620842	2.089387898	4.704830926	4.921211	1.235578812	1.334535	0.9251512	3.351094314	1.200174	1.383632	3.46009	2.613302189	4.465673844	1.101733	0.845118598	2.655801	1.309628	2.116860804	3.264485291	1.335204	3.402694	1.882177183	1.201089	1.968355	0.388605272	1.505289	1.489323508	1.927069	0.8761213	1.547052	5.702607	2.989344479	2.469290158	1.985530374	0.7603381	1.47413	1.625965	1.438828956	4.033541	4.295983768	1.436778474	3.486251	2.486183574	1.432106112	4.030591	4.812069546	3.722554	4.179664929	6.118099423	0.8126833	1.43241	3.816103	1.579699	1.121095	1.852154701	2.756129695	3.955766541	1.927380658	1.373286922	1.483635684	2.958289035	2.489865538	1.571581937	0.760854963
HES2	0.359909357	4.717337272	3.08001374	2.264117	2.258187	2.616424	0.2529462	2.021820905	0.6943665	3.363714	1.306927	2.204229882	3.763608966	1.384548843	1.27375978	1.105230712	0.1363945	1.450512695	3.608384387	3.961148	2.054683017	4.125321	3.352301	3.316697	0.425149672	3.359687	0.3444307	3.310550024	0.8744023	2.528397	0.1832365	0.107500486	1.13141632	4.13851	3.499366	0.3734353	2.489543	0.319265012	1.779124	4.914580486	2.695282	0.111769126	1.575771	4.589545257	3.615843323	0.222659416	1.369022498	5.610165834	2.705995	3.634740562	0.819316653	2.99692114	6.157858348	0.08121612	0.0987059	0.281117856	1.969987	1.760384	0.243506605	3.281655	3.412054	0.01543931	2.710477	2.63032	3.746019781	0.558067	0.041223396	4.733022	3.671829375	0.7601824	4.372562	4.086280059	1.392411	0.740328453	3.497172	0.1247704	2.008914	2.364526	0.2407588	4.479389	0.320387812	1.938403892	3.998200354	0.593601189	3.718458	3.805000978	3.56380043	0.3589266	1.385468	2.9133	3.299204238	0.086675386	0.160482529	1.0049477	0.594939807	3.316952223	0.5422673	0.920236111	0.640845875	2.848668306	2.242472	0.860861436	1.634353	3.962923	4.343609	1.277730712	1.176471496	0.243633935	0.35823508	0.93634423	0.295485253	3.052637525	2.125572	3.291329198	0.1411765	1.051963	2.513944345	5.716363	0.3876215	3.463703	3.691373428	4.574522313	4.279741	0.670991351	1.975526	4.058689	1.143354968	2.635631711	2.037603	4.709136	2.850006816	1.398027	4.002885	5.130562702	2.396498	0.289769613	1.144979	0.06865241	1.749183	2.812665	4.681784936	1.038613297	2.121037321	0.2175458	0.2460845	0.2365429	0.041061438	2.513695	3.130927171	0.810670596	2.546081	0.104752812	1.114629309	5.975149	3.377506384	3.254327	4.018293779	3.760882831	1.995444	1.603609	2.099625	1.866495	0.00568982	1.077483701	3.521148361	4.292176881	4.45483825	0.112548236	4.131942141	0.382356737	4.938721729	0.848441228	1.839280609
CRABP2	3.583653187	6.554359193	0.991728813	7.096081	5.681757	5.710853	1.929107	6.300566619	4.0001	7.749646	6.151171	4.895208956	4.942456787	5.575746908	1.390187648	4.483348092	2.965717	3.469589173	3.591759373	3.127501	5.127265701	7.001878	6.055728	5.578603	2.589441659	1.691346	4.953888	3.779942432	1.396989	3.531063	3.429636	1.197163052	0.767995705	4.69738	6.294825	4.35594	6.382209	2.688595491	2.665478	6.240804086	5.039573	2.389801988	2.412241	9.170816714	8.937109109	1.853298521	3.455068712	6.947919192	8.624959	8.650311703	2.979578048	7.045121284	4.603503607	3.255789	3.253001	4.813023686	3.14652	3.273747	5.523569698	6.982697	8.3607	1.771945	5.128269	3.543646	7.034708795	4.403509	5.785830673	7.371603	5.326180463	2.556108	8.014374	5.217247657	5.934881	2.662261431	9.891457	3.712843	4.951751	5.955793	3.678214	5.388445	2.963170058	7.584014384	6.875816001	2.792405154	7.947063	6.898676992	3.797504552	5.909982	4.17155	6.356042	1.819140516	0.774154435	2.786437244	1.879867747	5.438191774	9.941226289	5.545479	4.22375144	1.609930594	6.767014668	5.744498	1.153080107	4.570626	8.035283	5.233931	1.752000062	5.787971753	4.365207628	2.051495814	5.085570187	2.180022283	7.596373659	6.673241	3.874116704	1.680357	2.735906	6.691916999	2.283985	2.477237	3.695121	3.216404479	7.875715092	8.434251	6.047432409	2.619601	5.874336	4.772537121	4.564577702	1.163318	5.946846	2.283695222	2.434293	4.881097	8.721359933	3.381934	3.258129707	4.773513	2.990468	5.467474	5.014179	4.078021149	2.262145547	4.975491836	5.616245	1.262601	2.363462	1.630936653	2.973193	8.482513502	2.379067596	2.979506	3.719457906	5.582864263	9.460304	4.613544916	7.568944	7.854179885	5.28706161	2.180172	6.974568	5.583012	5.812156	1.048469	4.584028401	7.164101004	8.623434332	7.175749638	2.878805309	2.993308748	5.494148402	7.46686914	5.042737679	5.549267997
CLCA2	0.089034465	6.388595988	0.015540041	7.1119	5.351245	5.584385	0.6140153	5.775251419	0.05537329	7.484293	4.073759	4.943270423	6.812347302	3.992589341	1.265509991	5.477812018	0.01986672	1.767372681	6.526736031	7.147855	8.295373479	5.924397	7.796615	5.561801	1.04395198	5.235722	0.1544657	5.916318874	0.0168595	0.9401134	0.6781123	0.594388394	0.018959885	7.487575	7.306952	0.495224	6.714345	0.009019232	5.975416	7.55311328	3.934537	0.018273282	4.970116	8.049211757	7.041870054	0.060748181	3.893817167	6.932486737	7.647311	7.038039885	0.282303685	6.082255001	6.742868414	0.03025949	0.003957829	0.649309514	0.02502055	0.1396974	0.02937449	6.894464	6.368587	0.3394279	5.117718	4.461398	7.345334203	2.458125	0.760178615	8.687476	4.877489138	0	7.856667	7.51368176	3.507157	0.157307504	7.007568	0.02160569	6.078046	5.855493	0.09300498	8.323885	1.007970951	5.398239898	6.47240579	0.026920816	6.292821	5.755127655	6.14550445	0.3392938	4.939733	6.842118	3.314337777	0.010195589	2.219655988	0.485791864	0.36084862	6.614080927	0.009800416	3.305813187	0.026105322	6.455262297	0.1121046	0.340467089	7.323075	7.324872	6.539919	0.456253166	5.292588264	0.069688057	0.191562726	0.051336397	0.471411957	6.630088688	6.624084	7.198436282	0.2747738	0.01196497	7.431983283	4.309654	0.1788592	6.911255	7.546489639	7.345625831	6.792608	0.022487532	0.3528675	6.967584	0.214202705	6.711042015	0.1193374	8.333207	0.630464332	0.9538395	7.422043	7.387115461	0.05364504	0.170300928	3.816508	0.04383211	5.916887	6.383864	7.221643021	5.944600185	1.685163974	0.00908044	1.274776	0.003907638	0	0.03024352	7.161770187	0.201955547	5.31711	0.132112805	0.832973867	7.977364	7.125667504	5.969895	5.810451025	7.735219974	8.025523	5.767713	6.923571	4.441106	0.006839988	4.119882404	7.83917179	7.52539105	7.179029665	0	6.411647154	0.261616708	7.544722251	1.182712841	0.037331658
TRIM16L	0.704894836	2.874148683	0.688060547	2.231629	1.262167	1.737452	1.342278	1.26677618	1.040241	1.965201	0.8448716	2.079953555	1.659454228	1.864446849	0.766026804	1.868356976	1.931267	1.233344918	1.241751927	3.049002	1.289562212	1.124164	1.856074	4.001637	2.02842968	1.160341	1.869302	4.876723081	2.555865	0.9096371	0.6908998	1.317232563	0.848237118	3.76866	4.317002	1.370647	1.378235	2.72630881	3.053602	2.828562687	1.769648	1.255428015	4.911045	0.761799659	2.303181298	1.553610586	0.755367193	0.350454537	3.895958	2.587032284	1.518166582	2.528378255	1.791899529	1.475056	1.517565	1.416435511	3.182699	1.072377	0.792176162	1.714923	2.073695	0.982966	1.631993	1.556182	2.532882064	1.278016	2.66944054	1.561826	4.359208823	1.900425	1.779675	1.02965298	2.033071	1.900243932	2.555006	1.49457	5.136869	4.192664	1.980443	4.225344	2.202520347	2.250210851	2.177187253	0.905939385	1.41176	5.494702525	1.446107889	1.281743	5.158332	4.44266	0.926648816	1.05081811	1.109236671	1.366820123	0.629473253	2.808936168	1.043961	1.516190525	1.300641209	4.535830527	0.7475991	2.401830545	5.386962	1.712218	1.701745	1.793491459	1.231571342	1.373142885	1.808330953	1.053358809	2.982755522	2.656226805	5.036991	1.556723906	1.115906	2.498355	3.962086582	1.950482	1.741982	5.103728	5.08468162	1.889836119	1.023814	1.989903363	1.8058	3.571425	1.333640903	1.32934763	0.8354752	1.464615	0.837607154	0.6969736	2.356878	1.412731416	1.012735	1.749912135	1.621074	1.286008	2.335068	4.592792	1.041941743	4.32995003	2.594850105	0.9568014	1.017213	2.593727	0.974970892	0.9721701	3.614342639	0.721461497	6.358517	1.52254538	2.50490212	2.589669	4.931558596	1.474882	1.488865101	5.211870458	0.9080966	1.133247	3.228295	2.028534	1.019081	0.679913239	1.295247589	2.222503399	2.767349824	2.268509378	2.04370384	1.440506165	1.064890241	1.821440445	1.158929503
GLTP	3.921290915	6.243132896	3.759783668	6.714023	5.358786	4.823385	3.627167	6.013377332	4.705029	6.707769	4.266167	4.946733455	4.285466264	4.411838469	3.620868495	6.54229443	3.515167	4.457335545	5.938411655	5.325111	4.421586054	5.99625	4.059616	6.554944	3.798186383	4.024595	4.030253	8.5118231	3.578712	4.16457	4.115989	3.762710157	3.208717697	6.05378	5.449777	3.418563	6.636507	3.590234123	6.111032	4.923514721	4.392593	3.773301871	5.828342	7.411657244	6.945199918	3.589776747	3.958143674	6.398903985	7.349694	6.77250169	3.959025353	6.640779331	5.874825928	3.274296	3.81035	3.885658402	2.72005	3.338374	3.766205123	6.76346	7.350646	3.817417	4.173311	4.793378	6.607440963	4.517694	3.911213469	6.684883	6.333869935	3.220837	7.434038	3.952403802	3.51562	3.744515878	7.485468	3.471216	4.905936	4.671803	3.088628	7.336836	4.04382033	5.323088533	8.296733948	3.226584998	6.77741	4.943618683	4.438628972	3.332485	5.939745	5.854399	3.249927482	3.627602939	3.697095919	3.056515593	3.843159634	7.292355051	3.693267	4.441578294	3.442422696	7.431319401	3.10421	3.132974795	5.412627	6.948849	5.172639	3.559500356	4.666335928	3.266359335	3.671845235	3.135506012	3.507097723	6.459537911	6.241417	5.090019743	3.32599	2.710618	6.737435163	4.368013	3.856287	5.015541	4.543497214	5.72807012	7.838411	3.964762468	3.504884	4.888297	3.726205989	5.324881781	3.664313	6.259765	4.168385247	3.711022	5.548233	9.523800009	3.149241	3.426625863	4.657286	4.107341	5.994761	6.505478	4.981361519	6.452241287	6.170077577	4.238713	3.823919	3.529549	3.519458346	3.648149	5.847287451	3.306444731	5.03376	3.900682762	4.150890931	7.047979	5.901893691	4.869859	6.104191186	6.709827923	4.450264	5.646482	5.493486	5.159981	3.236435	3.732846897	5.471864411	6.76006048	5.720298818	4.391906901	4.444033945	3.741185802	5.608906187	3.564257453	4.156287675
LGALS7	0.397972176	2.668913381	0.362682838	1.943569	3.489169	1.28679	0.3454111	5.51562265	0.02112738	5.804846	0.8975458	0.138080676	3.296414433	0.516883005	0.023429632	4.159736463	0.1904868	0.429401114	5.893050017	5.652952	4.373347958	1.573685	5.578356	5.384465	0.112277144	2.553033	0.1338993	4.785534665	0	1.523069	0.6392296	0.485293616	0.895573878	0.7786906	6.551212	1.174881	3.243329	0.025359135	3.252613	6.981720809	1.915697	0.020651281	5.632474	6.870367742	5.473622771	0.440120802	2.445295137	8.78390374	4.813108	7.714574337	0.390402696	1.516210467	6.681261433	0	0.0222413	1.274325191	0.05991037	0.03640576	0.041357899	4.741737	6.47299	0	4.772152	1.321092	3.53668708	0.5667944	0.306343629	7.033808	8.283364307	0.1144093	4.691752	1.016136617	2.473717	0	2.19508	0	0.3366407	6.905366	0.02156992	4.575395	0.312207545	3.125860922	3.137394539	0.213851158	2.77782	0.937385084	3.2896475	0.02235956	3.900745	0.7509795	0.049859698	0	0.400643753	0.115489622	0.118644447	8.379076179	0.02754213	1.84850275	0.270861345	4.41776204	0.3836614	0	4.920755	2.186305	3.490431	0.28983514	2.930865846	0.069552138	0.287110213	0.072058198	0.818908325	2.170663615	1.543173	6.486323433	0.1173641	0.1298701	1.812440424	7.00786	1.011803	5.263343	3.224893116	6.054497353	3.25762	0.021205241	0.1179173	2.435086	0.441815033	5.425044814	0	7.220225	0.021238187	1.508309	3.426965	6.757631673	0.06053068	0.545589909	1.737917	4.822867	2.349071	3.071489	7.419519405	2.243002439	3.077484648	3.163944	0.4721985	0.06490486	0.031137292	0	6.100333051	0.727658301	2.444367	0.021571848	2.529946083	9.062583	4.26364077	6.401133	3.652598092	4.742307986	0.27944	1.585281	4.816532	3.843357	0	1.078800578	5.308330842	2.568121761	6.479814641	0.192077003	5.623269089	0.317818797	6.391276324	0.120198961	0.37462092
LYPD3	1.108519334	6.695499927	0.647999435	6.898207	6.021534	6.240731	1.194324	7.037939025	4.269977	8.577088	4.819645	5.206136322	3.44757411	4.512326884	1.329990501	5.724175306	1.076367	3.498616497	5.967044978	5.519888	5.572150683	7.682352	6.078369	7.124858	1.650979671	5.149227	1.186495	9.684629478	4.59655	3.636283	2.064312	0.796823964	1.473389509	8.084673	6.453964	3.568956	8.155992	0.997247736	5.70305	6.06377103	5.39112	1.639606681	6.192803	8.674444672	8.797357809	1.226960773	3.763376015	8.200317795	7.54153	9.139865265	1.082748241	7.892846665	7.348220531	1.057197	0.7371073	2.304271635	1.914578	3.590912	1.911757327	7.898867	8.775219	0.4697895	4.972476	4.10296	8.547109093	2.71424	1.99511187	8.743292	7.883869471	2.805466	7.856608	4.617567355	5.42436	1.434312431	8.884593	1.243718	5.708128	5.427397	0.5517835	7.633745	2.284976724	6.797467136	9.256450738	3.201187753	6.944679	5.813139193	4.288504728	1.1963	5.151597	6.614299	4.152634065	0.457769127	2.426414891	3.437939318	2.015532602	9.129118791	1.603021	4.53850076	0.733500644	7.064211731	4.01598	1.263303073	6.615756	8.12881	5.720777	1.31834738	5.453825795	1.65824174	1.454925574	1.016992822	0.616127207	7.71803357	5.347438	7.096328682	0.8009481	2.699274	7.777997491	6.726885	1.448499	6.402156	6.790235235	7.018466383	8.427793	1.515957622	2.314029	3.753928	2.499346365	6.196406611	1.645378	8.259361	5.482532224	3.04623	8.242237	10.017524288	1.264185	0.989263014	4.918545	0.6225371	4.81711	6.911744	6.528010176	4.493056139	5.719592786	4.125421	0.5741801	1.612297	0.434203238	1.807732	7.565465209	1.753306041	6.769066	0.899419065	1.347482799	9.127209	6.982965877	6.448764	6.837057162	6.79104924	0.1537005	8.547937	5.906498	6.025833	0.3074306	4.257356955	6.161690674	8.374223408	7.333397704	1.047830217	9.314046526	2.792978938	8.061584232	3.27140769	4.346487789
CLDN18	10.176476267	0.382363988	2.92615841	1.47768	9.070887	6.984644	8.562016	5.778902516	1.342279	1.674756	7.840249	7.419761653	0.583500939	0.3627397	7.385634102	1.164779453	9.729556	3.283477326	0.76793453	1.25263	0.156739912	0.641787	0.2675172	0.2532844	4.606955119	0.08394775	7.405551	0.092045312	1.266849	0.69987	8.688734	8.46585956	7.466538387	0.3357599	0.4495797	7.056336	4.384004	8.177684438	0.07757133	2.122304938	0.2263428	9.810882539	0.09948889	0.016865832	1.86480474	7.791057599	7.206543422	0.265851089	0.5960919	0.082042238	5.279437868	0.056983154	0.222962474	7.942382	1.278641	1.56674471	7.345847	6.641808	6.61511058	0.105627	2.474874	1.900652	1.08908	1.182549	0.51120935	7.147228	3.001496542	0.1418572	2.857450223	7.490388	2.356417	0.116101854	4.636978	6.641222262	0.05442079	7.702173	3.309625	0.7731548	8.120703	0.1426551	0.144841607	7.729424084	0.181893044	1.386863754	0.05837931	0.077783445	0.392024209	0.0454475	0.6424822	1.015859	0.212271757	7.975156926	7.949012825	5.032095499	5.573891096	0.480794964	0.7376149	9.594648252	10.1855832	0.388990636	0.09120414	6.711017677	0.1924819	0.1076653	0.4083845	7.220939674	0.243998063	8.37904767	2.420203387	1.981404986	0.368786712	1.498087496	0.4279119	0.755001832	7.049122	7.389987	0.194633223	0.2818914	10.47901	0.4973908	0.164662752	0.337469627	1.857238	8.929319096	1.001196	0.3847211	7.192367368	0.631760547	3.2296	0.01185374	4.266107468	0.1664452	0.1052578	0.097693616	8.097439	5.000130851	5.24909	10.04764	1.471135	0.1705234	1.057717659	1.555667789	0.089149078	1.611594	9.827246	9.226135	6.984207864	4.826156	0.493072949	5.473467195	1.074882	7.896497158	8.960382748	1.5538	0.925726418	0.6655303	1.153139653	0.519063358	1.731591	10.0496	0.4022485	2.060647	7.901176	4.463556822	1.605083899	1.271607447	1.977706865	5.924227097	0.059563424	3.214327171	0.092825919	4.67555992	0.677023901
SOX15	0.63893923	5.654196292	0.580160658	5.865952	3.012683	3.062444	0.686144	3.163004863	1.249458	4.235271	2.099548	2.417916601	4.239627258	3.406046243	0.662498855	4.296306919	0.9121994	1.079181938	6.824003311	4.979251	4.563126169	6.646801	5.206499	6.196682	1.001498196	6.644491	1.002507	5.702055579	1.728978	2.238136	1.240639	1.147985152	0.916634665	5.481528	5.966303	0.8473682	3.931614	0.873819333	2.841865	5.820902301	4.667218	0.576183371	6.740223	5.158754102	5.424340067	0.529417	1.591880428	5.947229901	5.364978	6.050783381	0.796990872	4.450569645	5.202622032	0.6465306	0.5973721	2.32610226	1.144305	0.6234445	0.982011763	4.400271	5.204049	1.918775	4.82005	4.568394	6.443287133	1.35494	2.176001755	7.17085	7.25078653	0.4753948	5.777971	6.177276195	3.761773	1.393310521	5.580581	1.015297	5.642735	6.292155	2.532833	7.171305	0.492798	3.621162462	6.109104989	0.570873716	5.25087	5.927605499	3.284174089	0.8844664	6.908259	6.091423	4.481758335	0.295851244	1.23392717	0.613803716	0.922542283	5.433046785	0.5235763	2.138836539	0.796559271	6.095238217	1.267456	0.815891096	5.962889	5.218624	6.286022	0.737994839	3.406156074	0.577853315	0.636565616	0.543970832	3.440231655	5.077979961	6.102237	5.595871194	0.3608695	0.404868	5.126105195	5.155197	1.326294	5.03998	6.032048084	5.836630499	5.914052	1.0651294	0.6758629	4.022549	0.994483836	5.794160207	0.7001408	6.668957	1.448417504	0.7653549	5.909752	6.146249353	0.8387046	1.67951461	1.898308	0.898422	4.566195	5.727008	5.754655013	5.684367909	2.785203021	0.5096381	0.8472506	0.8282195	1.710885346	0.604972	6.014180406	0.705456647	6.276668	1.062169093	0.812688081	5.94252	5.456401934	6.50195	5.505401621	5.407663904	5.026495	4.483313	4.840968	2.713002	0.3686842	1.77871303	5.182964403	5.229806318	4.009350843	1.186818379	7.152081159	1.040440268	6.67831312	1.104655887	1.757816286
KRTDAP	0	6.168039129	0	3.893731	0.9504557	6.805815	2.87954	8.618237717	0	9.560176	0.7586289	5.812661764	1.610546214	4.522729649	0.479063142	6.073119111	0.1789221	0.616144756	3.874726569	4.498609	5.113717532	6.124839	5.014408	2.90895	0.302893465	3.931785	0.09334481	10.474688541	0.1109686	2.299087	0.4327818	0.437624338	0.580035895	3.196432	6.351453	1.441294	6.936371	0.253325049	5.57429	5.172458099	5.611611	0.096747849	5.826215	10.96736943	4.356886796	0	1.333522987	9.960424267	9.518918	6.252134151	0.320971605	7.144014661	5.522330251	0.02941145	0.3979698	2.159083713	0.07175809	0	0.315963671	6.119137	3.576506	0.1600776	4.936483	3.976172	6.158670547	1.459864	0.53655283	8.942291	9.366263226	0	8.034827	4.649826537	2.7527	0.286179467	6.017696	0	1.317681	5.700807	0.1009355	6.326563	0.452146944	4.232402652	9.60951539	0.08957548	5.291075	3.950217579	6.289752998	0.02685042	0	6.883216	0.225486478	0.100787253	1.317204472	0.093324108	0.330817978	7.253741093	0.4793183	2.913988579	0.221069444	7.714865659	0.02383006	0	7.871271	4.164072	1.500925	0.663452944	4.322364942	0.109968559	0.228186922	1.062279635	0.329359541	2.364236392	5.52695	1.250507419	0.07171613	0	10.77547121	0.4488664	1.831704	4.761789	4.920048833	8.919571671	9.968485	0.075088728	0.3638003	0.7001339	0.03235704	6.508051097	0.3367871	8.298501	0.025505805	0.1489495	8.464122	11.136911079	0.2287093	0.29904536	2.173527	0	6.304475	8.324374	6.707680396	6.012699621	1.45212769	0.1188811	0.4568866	0.05227162	0.073793349	0	4.247324185	0.383841935	0.1790936	0.240238595	0.067177168	11.4903	5.167557658	8.499908	9.408626585	6.413454762	3.016958	6.27123	2.813213	5.671377	0.1335298	1.501120341	7.024595644	4.858415969	8.921505702	0.089808178	3.970866418	0.199376889	9.785795783	0.210073903	0.356358448
