ID	TP53	TP63	TP73	Type	CancerType
TCGA-P6-A5OF-01	0.948459537	0.897894007	0.019340405	Tumor	ACC
TCGA-P6-A5OG-01	0.945097933	0.680615824	0.026882918	Tumor	ACC
TCGA-PA-A5YG-01	0.963035203	0.388536607	0.027061384	Tumor	ACC
TCGA-PK-A5H8-01	0.952113925	0.159985442	0.02172506	Tumor	ACC
TCGA-PK-A5H9-01	0.95200104	0.27680585	0.019065198	Tumor	ACC
TCGA-PK-A5HA-01	0.941179258	0.675928105	0.037001368	Tumor	ACC
TCGA-PK-A5HB-01	0.941178089	0.799983998	0.020897977	Tumor	ACC
TCGA-07-0227-20	0.903006238	0.472711679	0.014371369	Normal	BLCA
TCGA-07-0227-20-1	0.903006238	0.472711679	0.014371369	Normal	BLCA
TCGA-07-0227-20-2	0.903006238	0.472711679	0.014371369	Normal	BLCA
TCGA-07-0227-20-3	0.903006238	0.472711679	0.014371369	Normal	BLCA
TCGA-07-0227-20-4	0.903006238	0.472711679	0.014371369	Normal	BLCA
TCGA-07-0227-20-5	0.903006238	0.472711679	0.014371369	Normal	BLCA
TCGA-07-0227-20-6	0.903006238	0.472711679	0.014371369	Normal	BLCA
TCGA-07-0227-20-7	0.903006238	0.472711679	0.014371369	Normal	BLCA
TCGA-2F-A9KO-01	0.634707981	0.746941729	0.021676655	Tumor	BLCA
TCGA-2F-A9KP-01	0.202716619	0.233429401	0.018794841	Tumor	BLCA
TCGA-2F-A9KQ-01	0.150037222	0.120874793	0.016171835	Tumor	BLCA
TCGA-2F-A9KR-01	0.363322929	0.202363908	0.016852769	Tumor	BLCA
TCGA-2F-A9KT-01	0.638234651	0.45961727	0.018411841	Tumor	BLCA
TCGA-2F-A9KW-01	0.864199178	0.383990489	0.017536445	Tumor	BLCA
TCGA-4Z-AA7M-01	0.705595575	0.283365383	0.027845448	Tumor	BLCA
TCGA-4Z-AA7N-01	0.832538404	0.735494687	0.015976939	Tumor	BLCA
TCGA-4Z-AA7O-01	0.253424084	0.225613934	0.017076173	Tumor	BLCA
TCGA-4Z-AA7Q-01	0.71163595	0.496612657	0.021101173	Tumor	BLCA
TCGA-4Z-AA7R-01	0.481690448	0.699133216	0.018437599	Tumor	BLCA
TCGA-4Z-AA7S-01	0.292438856	0.174613488	0.024830335	Tumor	BLCA
TCGA-4Z-AA7W-01	0.868580993	0.775591659	0.016515107	Tumor	BLCA
TCGA-4Z-AA7Y-01	0.127240185	0.185504218	0.02015039	Tumor	BLCA
TCGA-4Z-AA80-01	0.621364433	0.465784056	0.0237905	Tumor	BLCA
TCGA-4Z-AA81-01	0.80988619	0.84873828	0.02230055	Tumor	BLCA
TCGA-4Z-AA82-01	0.680912363	0.261297515	0.017715389	Tumor	BLCA
TCGA-4Z-AA83-01	0.278127552	0.188411559	0.486722923	Tumor	BLCA
TCGA-4Z-AA84-01	0.831495295	0.843949745	0.020496847	Tumor	BLCA
TCGA-4Z-AA86-01	0.842933452	0.75338551	0.022862665	Tumor	BLCA
TCGA-4Z-AA87-01	0.626191335	0.258479527	0.021290911	Tumor	BLCA
TCGA-4Z-AA89-01	0.228328143	0.17721684	0.023427668	Tumor	BLCA
TCGA-5N-A9KI-01	0.710056683	0.88786588	0.020879048	Tumor	BLCA
TCGA-5N-A9KM-01	0.538968674	0.346693783	0.021101513	Tumor	BLCA
TCGA-AV-A03D-201	0.834213908	0.440629056	0.021492	Normal	BLCA
TCGA-AV-A03D-20-1	0.834213908	0.440629056	0.021492	Normal	BLCA
TCGA-AV-A03D-20-2	0.834213908	0.440629056	0.021492	Normal	BLCA
TCGA-AV-A03D-20-3	0.834213908	0.440629056	0.021492	Normal	BLCA
TCGA-AV-A03D-20-4	0.834213908	0.440629056	0.021492	Normal	BLCA
TCGA-AV-A03D-20-5	0.834213908	0.440629056	0.021492	Normal	BLCA
TCGA-AV-A03D-20-6	0.834213908	0.440629056	0.021492	Normal	BLCA
TCGA-AV-A03D-20-7	0.834213908	0.440629056	0.021492	Normal	BLCA
TCGA-AV-A03D-20-8	0.834213908	0.440629056	0.021492	Normal	BLCA
TCGA-AV-A03D-20-9	0.834213908	0.440629056	0.021492	Normal	BLCA
TCGA-AV-A03D-20-10	0.834213908	0.440629056	0.021492	Normal	BLCA
TCGA-AV-A03D-20-11	0.834213908	0.440629056	0.021492	Normal	BLCA
TCGA-AV-A03D-20-12	0.834213908	0.440629056	0.021492	Normal	BLCA
TCGA-AV-A03D-20-13	0.834213908	0.440629056	0.021492	Normal	BLCA
TCGA-AV-A03D-20-14	0.834213908	0.440629056	0.021492	Normal	BLCA
TCGA-AV-A03D-20-15	0.834213908	0.440629056	0.021492	Normal	BLCA
TCGA-BL-A0C8-01	0.77305689	0.3673555	0.04246481	Tumor	BLCA
TCGA-BL-A0C8-01-1	0.77305689	0.3673555	0.04246481	Tumor	BLCA
TCGA-BL-A0C8-01-2	0.77305689	0.3673555	0.04246481	Tumor	BLCA
TCGA-BL-A13I-01	0.88149063	0.83787086	0.02526455	Tumor	BLCA
TCGA-BL-A13I-01-1	0.88149063	0.83787086	0.02526455	Tumor	BLCA
TCGA-BL-A13I-01-2	0.88149063	0.83787086	0.02526455	Tumor	BLCA
TCGA-BL-A13J-01	0.4931094	0.28711852	0.40834598	Tumor	BLCA
TCGA-BL-A13J-01-1	0.4931094	0.28711852	0.40834598	Tumor	BLCA
TCGA-BL-A13J-01-2	0.4931094	0.28711852	0.40834598	Tumor	BLCA
TCGA-BL-A13J-11	0.88474123	0.88460998	0.02640701	Normal	BLCA
TCGA-BL-A3JM-01	0.853212144	0.911124758	0.018202644	Tumor	BLCA
TCGA-BL-A5ZZ-01	0.789295399	0.463758771	0.014312403	Tumor	BLCA
TCGA-BT-A0S7-01	0.50321033	0.50693595	0.02124079	Tumor	BLCA
TCGA-BT-A0YX-01	0.60594268	0.35824593	0.02236636	Tumor	BLCA
TCGA-BT-A20J-01	0.87657676	0.81473309	0.02447693	Tumor	BLCA
TCGA-BT-A20J-11	0.802943307	0.80189965	0.031839057	Normal	BLCA
TCGA-BT-A20N-01	0.607836787	0.313950998	0.021730527	Tumor	BLCA
TCGA-BT-A20N-11	0.90822161	0.93359561	0.02443467	Normal	BLCA
TCGA-BT-A20O-01	0.91687862	0.90564933	0.02962306	Tumor	BLCA
TCGA-BT-A20P-01	0.472933082	0.110160399	0.026343544	Tumor	BLCA
TCGA-BT-A20P-11	0.90595886	0.9344783	0.02565364	Normal	BLCA
TCGA-BT-A20Q-01	0.68841965	0.41310774	0.04227132	Tumor	BLCA
TCGA-BT-A20R-01	0.869718772	0.934314477	0.028566453	Tumor	BLCA
TCGA-BT-A20R-11	0.899642759	0.923299058	0.024975515	Normal	BLCA
TCGA-BT-A20T-01	0.5767178	0.30851783	0.02745382	Tumor	BLCA
TCGA-BT-A20U-01	0.87711763	0.59610712	0.02826926	Tumor	BLCA
TCGA-BT-A20U-11	0.81842425	0.757122	0.02849507	Normal	BLCA
TCGA-BT-A20V-01	0.8269039	0.67039819	0.03583298	Tumor	BLCA
TCGA-BT-A20V-11	0.80206122	0.74727047	0.02892889	Normal	BLCA
TCGA-BT-A20W-01	0.5812851	0.38817162	0.03046664	Tumor	BLCA
TCGA-BT-A20W-11	0.81485137	0.8009873	0.03981701	Normal	BLCA
TCGA-BT-A20X-01	0.69166245	0.47449831	0.02537665	Tumor	BLCA
TCGA-BT-A20X-11	0.879857481	0.9210453	0.022986481	Normal	BLCA
TCGA-BT-A2LA-01	0.555899818	0.852868057	0.015244793	Tumor	BLCA
TCGA-BT-A2LA-11	0.502015824	0.436517018	0.018315924	Normal	BLCA
TCGA-BT-A2LB-01	0.679482497	0.358311765	0.017338505	Tumor	BLCA
TCGA-BT-A2LD-01	0.890331514	0.932325534	0.021914568	Tumor	BLCA
TCGA-BT-A3PH-01	0.338244107	0.074108295	0.673197819	Tumor	BLCA
TCGA-BT-A3PJ-01	0.845852442	0.490396363	0.02052008	Tumor	BLCA
TCGA-BT-A3PK-01	0.862909349	0.665914419	0.023138912	Tumor	BLCA
TCGA-BT-A42B-01	0.580491992	0.222750909	0.015537905	Tumor	BLCA
TCGA-BT-A42C-01	0.386634256	0.330838343	0.022105371	Tumor	BLCA
TCGA-BT-A42E-01	0.91911006	0.402307	0.02462556	Tumor	BLCA
TCGA-BT-A42F-01	0.823024009	0.734216773	0.0205726	Tumor	BLCA
TCGA-C4-A0EZ-01	0.640052708	0.923369605	0.025064788	Tumor	BLCA
TCGA-C4-A0F0-01	0.51127732	0.50554453	0.01955049	Tumor	BLCA
TCGA-C4-A0F1-01	0.328264902	0.31684929	0.022411524	Tumor	BLCA
TCGA-C4-A0F6-01	0.56061091	0.3323701	0.03090841	Tumor	BLCA
TCGA-C4-A0F7-01	0.22695286	0.09210293	0.02228256	Tumor	BLCA
TCGA-CF-A1HR-01	0.64612349	0.35188638	0.02402611	Tumor	BLCA
TCGA-CF-A1HS-01	0.75096962	0.40394642	0.02992875	Tumor	BLCA
TCGA-CF-A27C-01	0.135477049	0.049102761	0.020230986	Tumor	BLCA
TCGA-CF-A3MF-01	0.169830387	0.068446659	0.021892121	Tumor	BLCA
TCGA-CF-A3MG-01	0.214791811	0.072517532	0.027424584	Tumor	BLCA
TCGA-CF-A3MH-01	0.180234894	0.073216821	0.022137556	Tumor	BLCA
TCGA-CF-A3MI-01	0.232075584	0.131930873	0.038621897	Tumor	BLCA
TCGA-CF-A47S-01	0.229883813	0.079255736	0.029682164	Tumor	BLCA
TCGA-CF-A47T-01	0.121410815	0.090370879	0.025865662	Tumor	BLCA
TCGA-CF-A47V-01	0.1698513	0.10518945	0.15886057	Tumor	BLCA
TCGA-CF-A47W-01	0.118083464	0.11836238	0.022468459	Tumor	BLCA
TCGA-CF-A47X-01	0.141192	0.11190975	0.05502972	Tumor	BLCA
TCGA-CF-A47Y-01	0.22375961	0.16038277	0.02558714	Tumor	BLCA
TCGA-CF-A5U8-01	0.16386675	0.07758916	0.02555104	Tumor	BLCA
TCGA-CF-A5UA-01	0.183344552	0.079882536	0.023096123	Tumor	BLCA
TCGA-CF-A7I0-01	0.381052811	0.301085827	0.025607584	Tumor	BLCA
TCGA-CF-A8HX-01	0.125430968	0.097941921	0.019035316	Tumor	BLCA
TCGA-CF-A8HY-01	0.121356744	0.094662337	0.014908903	Tumor	BLCA
TCGA-CF-A9FF-01	0.385708716	0.284122389	0.015134442	Tumor	BLCA
TCGA-CF-A9FH-01	0.075562278	0.080259792	0.025804063	Tumor	BLCA
TCGA-CF-A9FL-01	0.389176937	0.205202896	0.015359694	Tumor	BLCA
TCGA-CF-A9FM-01	0.12024884	0.1020579	0.032996116	Tumor	BLCA
TCGA-CU-A0YN-01	0.58948234	0.42852856	0.018816261	Tumor	BLCA
TCGA-CU-A0YN-11	0.845197691	0.873751954	0.028831661	Normal	BLCA
TCGA-CU-A0YO-01	0.73200075	0.57765324	0.03082216	Tumor	BLCA
TCGA-CU-A0YR-01	0.800463633	0.717144817	0.022911179	Tumor	BLCA
TCGA-CU-A0YR-11	0.859981811	0.835949437	0.027666872	Normal	BLCA
TCGA-CU-A3KJ-01	0.45241763	0.116466851	0.016776916	Tumor	BLCA
TCGA-CU-A3QU-01	0.446083922	0.913372813	0.022189981	Tumor	BLCA
TCGA-CU-A3YL-01	0.325239407	0.260170627	0.018899926	Tumor	BLCA
TCGA-CU-A5W6-01	0.80439719	0.38313478	0.02796738	Tumor	BLCA
TCGA-CU-A72E-01	0.479448177	0.334048135	0.018855302	Tumor	BLCA
TCGA-DK-A1A3-01	0.68181514	0.88938165	0.02337376	Tumor	BLCA
TCGA-DK-A1A5-01	0.47825613	0.41384	0.03256964	Tumor	BLCA
TCGA-DK-A1A6-01	0.35595781	0.26345791	0.02755241	Tumor	BLCA
TCGA-DK-A1A6-06	0.466736905	0.443609362	0.016211846	Tumor	BLCA
TCGA-DK-A1A7-01	0.35549668	0.2208194	0.02725386	Tumor	BLCA
TCGA-DK-A1AA-01	0.22820399	0.11809494	0.02792556	Tumor	BLCA
TCGA-DK-A1AB-01	0.65058004	0.47463785	0.02282335	Tumor	BLCA
TCGA-DK-A1AC-01	0.76784331	0.8930768	0.02642858	Tumor	BLCA
TCGA-DK-A1AD-01	0.3655402	0.16849519	0.02897402	Tumor	BLCA
TCGA-DK-A1AE-01	0.351290893	0.162111097	0.020358643	Tumor	BLCA
TCGA-DK-A1AF-01	0.82755205	0.87195873	0.02575353	Tumor	BLCA
TCGA-DK-A1AG-01	0.33083368	0.14342852	0.02449168	Tumor	BLCA
TCGA-DK-A2HX-01	0.809813492	0.944921093	0.022097382	Tumor	BLCA
TCGA-DK-A2I1-01	0.47694252	0.31563837	0.02251128	Tumor	BLCA
TCGA-DK-A2I2-01	0.888367696	0.840349495	0.081679091	Tumor	BLCA
TCGA-DK-A2I4-01	0.865110975	0.922442359	0.020769872	Tumor	BLCA
TCGA-DK-A2I6-01	0.716815267	0.283279292	0.015563249	Tumor	BLCA
TCGA-DK-A3IK-01	0.528919166	0.338463023	0.019179488	Tumor	BLCA
TCGA-DK-A3IL-01	0.644395412	0.269345932	0.018140977	Tumor	BLCA
TCGA-DK-A3IM-01	0.810975276	0.193181115	0.021038013	Tumor	BLCA
TCGA-DK-A3IN-01	0.822547376	0.579243384	0.028242359	Tumor	BLCA
TCGA-DK-A3IQ-01	0.787487703	0.693516286	0.02162864	Tumor	BLCA
TCGA-DK-A3IS-01	0.339704138	0.112011268	0.017395672	Tumor	BLCA
TCGA-DK-A3IT-01	0.664315982	0.399570012	0.021595999	Tumor	BLCA
TCGA-DK-A3IU-01	0.895320302	0.92621625	0.018947827	Tumor	BLCA
TCGA-DK-A3IV-01	0.764327487	0.778964018	0.020108786	Tumor	BLCA
TCGA-DK-A3WW-01	0.671679242	0.520190597	0.015844729	Tumor	BLCA
TCGA-DK-A3WX-01	0.91033771	0.869209421	0.022080033	Tumor	BLCA
TCGA-DK-A3WY-01	0.89117082	0.913876919	0.018863868	Tumor	BLCA
TCGA-DK-A3X1-01	0.696606471	0.492424775	0.023248307	Tumor	BLCA
TCGA-DK-A3X2-01	0.095869642	0.330084953	0.015825552	Tumor	BLCA
TCGA-DK-A6AV-01	0.643207776	0.33366383	0.014038626	Tumor	BLCA
TCGA-DK-A6AW-01	0.89425964	0.887973776	0.014378407	Tumor	BLCA
TCGA-DK-A6B0-01	0.161857216	0.098485391	0.020061155	Tumor	BLCA
TCGA-DK-A6B1-01	0.66172059	0.777394657	0.016001964	Tumor	BLCA
TCGA-DK-A6B2-01	0.542444996	0.336393309	0.014785472	Tumor	BLCA
TCGA-DK-A6B5-01	0.662516043	0.237549343	0.016239717	Tumor	BLCA
TCGA-DK-A6B6-01	0.558123274	0.592866089	0.015942323	Tumor	BLCA
TCGA-DK-AA6L-01	0.516891176	0.357656496	0.02034702	Tumor	BLCA
TCGA-DK-AA6M-01	0.804586288	0.52909245	0.022392745	Tumor	BLCA
TCGA-DK-AA6P-01	0.143733673	0.171191747	0.030102236	Tumor	BLCA
TCGA-DK-AA6Q-01	0.54801192	0.233999	0.01912111	Tumor	BLCA
TCGA-DK-AA6R-01	0.655399353	0.44078674	0.029018142	Tumor	BLCA
TCGA-DK-AA6S-01	0.786529825	0.673077544	0.020964988	Tumor	BLCA
TCGA-DK-AA6T-01	0.883420988	0.665531133	0.018848136	Tumor	BLCA
TCGA-DK-AA6U-01	0.56631969	0.545190735	0.017505007	Tumor	BLCA
TCGA-DK-AA6W-01	0.649212614	0.777379055	0.020323831	Tumor	BLCA
TCGA-DK-AA6X-01	0.764581693	0.607262499	0.023252257	Tumor	BLCA
TCGA-DK-AA71-01	0.212349656	0.173394942	0.022718667	Tumor	BLCA
TCGA-DK-AA74-01	0.861241673	0.636653144	0.022581663	Tumor	BLCA
TCGA-DK-AA75-01	0.814318043	0.685009621	0.021372545	Tumor	BLCA
TCGA-DK-AA76-01	0.177039097	0.109138304	0.017970286	Tumor	BLCA
TCGA-DK-AA77-01	0.287439937	0.215109492	0.018597757	Tumor	BLCA
TCGA-E5-A2PC-01	0.685833951	0.102679303	0.025085865	Tumor	BLCA
TCGA-E5-A4TZ-01	0.190986707	0.102117026	0.01569819	Tumor	BLCA
TCGA-E5-A4U1-01	0.18153152	0.15108808	0.01521059	Tumor	BLCA
TCGA-E7-A3X6-01	0.465725459	0.35634119	0.022291915	Tumor	BLCA
TCGA-E7-A3Y1-01	0.237694652	0.212551097	0.025613903	Tumor	BLCA
TCGA-E7-A4IJ-01	0.560979589	0.35619299	0.024677393	Tumor	BLCA
TCGA-E7-A4XJ-01	0.355698391	0.24438011	0.017418335	Tumor	BLCA
TCGA-E7-A519-01	0.338275395	0.306980636	0.023096139	Tumor	BLCA
TCGA-E7-A541-01	0.799044386	0.51594295	0.473418767	Tumor	BLCA
TCGA-E7-A5KE-01	0.64888404	0.09251981	0.02961111	Tumor	BLCA
TCGA-E7-A5KF-01	0.09964606	0.07755567	0.06369665	Tumor	BLCA
TCGA-E7-A677-01	0.487175355	0.14964528	0.33233102	Tumor	BLCA
TCGA-E7-A678-01	0.111660113	0.135413802	0.020210751	Tumor	BLCA
TCGA-E7-A6MD-01	0.689105463	0.259071079	0.026121728	Tumor	BLCA
TCGA-E7-A6ME-01	0.490925737	0.813273512	0.018852519	Tumor	BLCA
TCGA-E7-A6MF-01	0.096736035	0.190857677	0.019311423	Tumor	BLCA
TCGA-E7-A7DU-01	0.225514738	0.139525465	0.017132681	Tumor	BLCA
TCGA-E7-A7DV-01	0.78859263	0.86276728	0.02556976	Tumor	BLCA
TCGA-E7-A7PW-01	0.21809329	0.18894974	0.02248236	Tumor	BLCA
TCGA-E7-A7XN-01	0.80568689	0.71201397	0.02764402	Tumor	BLCA
TCGA-E7-A85H-01	0.625669826	0.297653401	0.02220198	Tumor	BLCA
TCGA-E7-A8O7-01	0.389437453	0.17105493	0.021589818	Tumor	BLCA
TCGA-E7-A8O8-01	0.68339809	0.46160118	0.02067021	Tumor	BLCA
TCGA-E7-A97P-01	0.679422011	0.603040211	0.016498253	Tumor	BLCA
TCGA-E7-A97Q-01	0.598326852	0.658210528	0.017993393	Tumor	BLCA
TCGA-FD-A3B3-01	0.870703976	0.689387985	0.018964485	Tumor	BLCA
TCGA-FD-A3B4-01	0.835679287	0.31540572	0.023986228	Tumor	BLCA
TCGA-FD-A3B5-01	0.585070212	0.271245663	0.021138923	Tumor	BLCA
TCGA-FD-A3B6-01	0.859700359	0.932252522	0.029615977	Tumor	BLCA
TCGA-FD-A3B7-01	0.888396029	0.844053538	0.04530387	Tumor	BLCA
TCGA-FD-A3B8-01	0.894532489	0.883063524	0.015657606	Tumor	BLCA
TCGA-FD-A3N5-01	0.788002349	0.401757181	0.025927695	Tumor	BLCA
TCGA-FD-A3N6-01	0.510893714	0.212588164	0.018390188	Tumor	BLCA
TCGA-FD-A3NA-01	0.786150009	0.413141689	0.01881904	Tumor	BLCA
TCGA-FD-A3SJ-01	0.51879516	0.604802254	0.019122999	Tumor	BLCA
TCGA-FD-A3SL-01	0.845377464	0.9379295	0.020819792	Tumor	BLCA
TCGA-FD-A3SM-01	0.428065332	0.680569052	0.018837059	Tumor	BLCA
TCGA-FD-A3SN-01	0.749123415	0.354924966	0.019798491	Tumor	BLCA
TCGA-FD-A3SO-01	0.843788555	0.790096646	0.022402625	Tumor	BLCA
TCGA-FD-A3SP-01	0.912800502	0.84466504	0.025086211	Tumor	BLCA
TCGA-FD-A3SQ-01	0.857333262	0.597516733	0.031547605	Tumor	BLCA
TCGA-FD-A3SR-01	0.696640623	0.940565854	0.02213693	Tumor	BLCA
TCGA-FD-A3SS-01	0.823034936	0.89735996	0.018725903	Tumor	BLCA
TCGA-FD-A43N-01	0.463552767	0.354714257	0.032468624	Tumor	BLCA
TCGA-FD-A43P-01	0.72901612	0.55743841	0.01934008	Tumor	BLCA
TCGA-FD-A43S-01	0.855098685	0.82737751	0.024067386	Tumor	BLCA
TCGA-FD-A43U-01	0.781093796	0.633720979	0.018878295	Tumor	BLCA
TCGA-FD-A43X-01	0.160482377	0.06188177	0.023749778	Tumor	BLCA
TCGA-FD-A43Y-01	0.63551974	0.612656841	0.020001799	Tumor	BLCA
TCGA-FD-A5BR-01	0.710667684	0.522943452	0.021053324	Tumor	BLCA
TCGA-FD-A5BS-01	0.883280885	0.907529828	0.178050947	Tumor	BLCA
TCGA-FD-A5BT-01	0.910679463	0.895285751	0.020348397	Tumor	BLCA
TCGA-FD-A5BU-01	0.783149681	0.549621104	0.017773004	Tumor	BLCA
TCGA-FD-A5BV-01	0.648932371	0.546842409	0.030177635	Tumor	BLCA
TCGA-FD-A5BX-01	0.908518301	0.920807217	0.021411056	Tumor	BLCA
TCGA-FD-A5BY-01	0.49801374	0.26824863	0.02066181	Tumor	BLCA
TCGA-FD-A5BZ-01	0.55407507	0.59096882	0.02708236	Tumor	BLCA
TCGA-FD-A5C0-01	0.442685414	0.320270563	0.021036795	Tumor	BLCA
TCGA-FD-A5C1-01	0.84055697	0.59482505	0.03160454	Tumor	BLCA
TCGA-FD-A62N-01	0.900760979	0.626496718	0.018462228	Tumor	BLCA
TCGA-FD-A62O-01	0.317853438	0.134027466	0.053319458	Tumor	BLCA
TCGA-FD-A62P-01	0.731290829	0.449512623	0.016359511	Tumor	BLCA
TCGA-FD-A62S-01	0.83147617	0.545820907	0.025464991	Tumor	BLCA
TCGA-FD-A6TA-01	0.48550587	0.36670117	0.02254912	Tumor	BLCA
